Emotion,Text
sadness,When my girlfriend's nephew passed away.
anger,When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.
joy," I'd be delighted to , John . Saturday did you say ? "
anger,"` No , "" she replied briefly , feeling more and more resentful . "
joy, Sure.Where would you suggest ? 
anger,When my room-mates were watching video-tapes and prevented me from watching the news.  The first feeling I had was that I was being treated unfairly and then came the feeling of anger.
joy, I can't believe they would play so good . 
joy, Last night 
anger,"When I came back to my hostel, my bed was full of newspapers and dirty clothes.  My room-mate asked me to wash the clothes for him as he had no time (this was his responsibility).  The food we shared had been eaten up by him (I ate little)."
neutral, I did that . 
joy," Ha , yes , brilliant ! "
neutral,Can we talk ? 
neutral, Never mind . 
sadness, Now he's looking over here ! He's coming ! 
anger,I was angry when I watched a ski-race. All the Austrian skiers dropped out.
joy,When my father bought me a suit.
anger,"Following an argument with my brother, he broke my golf clubs."
neutral," You know , about David and his new boss . "
anger,At work being shifted to another area.
joy,"Mum , this is for you . "
sadness,"A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks.  I somersaulted but had no injuries."
sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad."
joy,"A person with whom I had been on bad terms, gave me a present. We became reconciled."
anger,I was scolded by my mother for no reason.
sadness,I feel sad about an event I can not influence.
anger, You know you didn't . 
neutral, we were planning on walking both ways since the weather is still nice . 
joy, Were you ? your performance was excellent . 
sadness, Let me have a look . Whoa ! Get away from me ! 
neutral," No , sir . "
anger, What is that ? 
anger, It's really very easy saying you're sorry . 
sadness,She stared until it was hard to know which was herself -- the disconsolate woman in the chill room or the other sorrowful face in the night outside . 
neutral, Now . 
joy,That morning I was so ecstatic about my triumph in seducing the dog-owner 's daughter that I 'd completely forgotten about Jamila 's big decision . 
anger, Why not ? 
sadness, What kind of solution can I have now ? I nearly go crazy now . 
neutral, Tarzan . 
joy,After a weekend at a seminar I saw my husband again. I hurried home hoping he would be there. We embraced - I enjoyed feeling his body.
sadness,"Feeling a little frightened of the dead body behind him in the cart , and depressed by the autumn fog , he stopped for some beer at a pub , where he met Jan Coggan and Laban Tall . "
joy,When my boyfriend and I experience something nice or when we have made a nice walk together.
joy,"Applause rang out , and she twirled around to acknowledge it in demure delight , clapping the barman -- and then being crushed against the ample bosom of the barman 's wife . "
joy,When my son was born.
sadness,Going to be a long long day in work. Also not looking forward to these photos from last night 
joy,"After being away on a holiday for 2 months, a friend, who lived interstate, had remembered when I'd get back and phoned to welcome me home on the night of my arrival."
sadness,Fry said his farewells to the players who regarded him as a father figure before heading for home in Bedford a devastated man . 
anger,"A friend of mine uses butter instead of oil when he is cooking. I am always angry about that, because it is an unnecessary luxury. Recently we both were cooking and he wanted to use butter again. When I had already put the oil into the pan, he poured it out again and put the butter into the pan."
joy,Seb reached Burford in a state of high excitement only to find that Superintending Constable Aplin was in London . 
joy, It was a great idea to spend a day watching a game . 
anger,They promised us a sea view . 
joy,"Many Labour MPs could not hide their glee at the SNP 's action , such is their antipathy to cross-party co-operation . "
anger,Being treated unfairly and being hurt by someone I love.
joy," Yes , I received the scholarship 3 times on end . "
neutral," I can show it to you now , if you like . I think it goes back about 8 generations so far . "
anger,"Many of the latecomers , especially as the afternoon wore on , were furious to find the doors locked , not having heard of the noon closure and so thinking they had all day . "
joy,When I met my girlfriend - I had not counted on that.
sadness, I just don ’ t want to play table tennis any more . 
joy, I will ! I could use some good luck ! 
joy,When I received the acceptance letter from university.  I had just come home from work when my kind sister handed me an enveloppe which I opened and was overcome with joy.
anger,"My ex-boyfriend began to date my best friend. After they had been seeing each other, I found out that he had been sleeping with another girl, without my friend knowing, I told my friend what he had been doing behind her back."
anger,"I felt anger at my last exam, I felt angry with our teacher, because he did not rate me objectively and I failed."
neutral, Are you a football player ? 
joy, Thanks . 
neutral, It ’ s true . 
neutral, exactly . 
sadness,I'm not actually writing a physics exam today 
neutral,When do you usually go to the movies ? 
anger,"LIVID Mia Farrow beat her adopted daughter Soon-Yi with a chair after finding out about her affair with Woody Allen , it was claimed yesterday . "
neutral, I know . I've even worked up a sweat . 
sadness,@daShortFry is a bad ass...watch out tweeter world... has come of age #bringthepain
anger," Yeah , his attitude is great , but he ’ s really unreliable . Sometimes he ’ s really productive , but then other times ... take last Tuesday for instance , he was forty-five minutes late for our morning meeting ! "
joy, Thanks for reminding me . She's the right person to help me . 
anger,"I was subject to false accusations, and got very angry."
sadness,I had an accident in which I hurt my eye.  I was afraid of having injured it badly.
neutral, Is it nice ? 
neutral,Every country should face the history . 
neutral,"Hey , guys ! "
joy,When I attended the concert of a pop singer.
joy,When I look at people around and know that people who are stupid look stupid.
neutral, So ? 
joy,My girlfriend gave me some feed-back and I understood that it meant that our relationship was about to turn even closer.
sadness, Is it gonna hurt ? 
joy,I felt joy when I passed my Malawi School Certificate of Education.
neutral, 120 yuan . 
anger," Don't get smart with me . Here , do it again , but do it right this time . "
sadness,"The first week I was at the school , I attempted to climb a tree , and was reproved by a horrified prefect . "
anger,"The enraged animal charged into Christopher Rogers , pinning him to the ground . "
joy,First time I slept with my present girlfriend. Had been best friends for a year but had been hesitant about getting involved emotionally.
sadness,Ray Shepherd 's voice was quiet and he ignored his son 's mounting horror . 
neutral, How short ? 
anger,Someone spread rumours about me.
neutral, What about the other class ? 
sadness,"` I made the camp , "" grumbled Henry , rather like a sad child . "
sadness,"Just before I started my study I had to move, I was very afraid to be left alone and that I could not manage it."
sadness,He felt increasingly irritated and despondent . 
sadness,When I got in jungle where there was a great number of snakes.
sadness, Yeah ? 
anger," That's fine , because if I leave , then your rules won't matter . "
joy," Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions . "
neutral, I hope so . 
neutral,Hello . 
neutral, I'm not . I just don't feel like drinking whole milk today . Why ? Do you think I'm fat ? 
anger, Are you crazy ? You made the mistake and now you're charging me for your mistake ? 
neutral, I guess . 
joy, Let's get a soft drink . 
neutral, So he had the boxes wrapped in plastic . 
joy," Yeah , I am very impressed with Tom Hanks ' performance in the movie . "
joy,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.
sadness, I ’ m a little nervous . I ’ Ve never flown before . 
neutral, It's 112 . 
anger,"I know I'm a blabbermouth , but what do you think she should do , John ? "
sadness,"I went to the prayer meeting at night and unfortunately the car broke down, so my other sister said I had to walk alone from Ndirande to Chirimba at around midnight. So we reached home at 1 am. I was afraid of robbers and dardness."
joy,"I have a girlfriend, who is almost like a daughter to me.  She is studying out of station and I get to see her only once a year.  Her arrival is always a joyous one."
joy,"Well , it was nice meeting you . "
joy, I watched the race with my children . We saw you run to the finish line . We all screamed with excitement . 
anger,"I was travelling from Delhi to Bombay.  I had booked a seat one month back and I had also got a telegram confirming this.  However, in the train my name had been omitted from the reservation sheet, and the one seat that was still vacant was alloted to another person who paid for it despite my requests for the seat.  I was allowed to stay in the reserved compartment when I paid money."
neutral,"Mary , how was your date with john ? "
sadness," is an  that one’s #penis will withdraw into ones abdomen, seen only in Malaya and other regions of southern #Asia.&#xA;."
sadness," Oh dear , we will miss our train . "
neutral, Here it is . 
anger,When I heard that my step-mother had treated my mother in a wrong manner.
sadness,"And , to complete his heartbreak , his car broke down when he was looking for his ninth win of the season at the Italian Grand Prix . "
neutral," Oh , yes ? "
neutral,Do you love me ?
joy,"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to . "
anger,"It was a mixture of amusement and exasperation with her friend , with worry added . "
anger, That would be convenient . They might as well ask him to fix the electrical wiring . The circuit breakers keep going out all the time . It ’ s really annoying ! 
anger,"When the others did not do their bit of work on a group assignment task, and I had to do all the work."
joy,When I got myself the kind of girlfriend I had been hunting for a long time.
anger,It was a revelation after the pain of trotting and Nails was cross when Nutty brought it to an end . 
joy,"` They take young grandpas , "" said Linda , amazed and overjoyed he 'd had the idea for himself and still not able to get over her daughter 's news . "
joy,"With such obvious delight in food , it 's hard to see how Blanc remains so slim . "
sadness,When I am out in the dark and a suspicious looking character comes towards me.
neutral, My paper is on the influence of television on children . 
joy, That's good . Do you live near here ? 
neutral," Well , Rose . "
